"city","state","idhm","income","longevity","education","year"
"Serra Alta","SC",0.704,0.558,0.791,0.764,1991
"Tietê","SP",0.769,0.749,0.726,0.831,1991
"Torrinha","SP",0.756,0.7,0.789,0.778,1991
"Água Doce","SC",0.718,0.603,0.777,0.773,1991
"Bilac","SP",0.754,0.667,0.796,0.798,1991
"Bombinhas","SC",0.733,0.635,0.775,0.788,1991
"Campo Novo do Parecis","MT",0.728,0.709,0.708,0.766,1991
"Cruzeiro","SP",0.755,0.676,0.703,0.886,1991
"Ibiam","SC",0.697,0.581,0.788,0.722,1991
"Jacareí","SP",0.761,0.73,0.703,0.851,1991
"Mococa","SP",0.738,0.688,0.716,0.81,1991
"Mondaí","SC",0.718,0.566,0.787,0.801,1991
"Novo Hamburgo","RS",0.758,0.732,0.732,0.811,1991
"Patrocínio Paulista","SP",0.743,0.666,0.788,0.775,1991
"Resende","RJ",0.753,0.693,0.721,0.844,1991
"Rodeio Bonito","RS",0.701,0.583,0.75,0.771,1991
"Salto","SP",0.749,0.704,0.72,0.822,1991
"Santa Fé do Sul","SP",0.762,0.687,0.776,0.822,1991
"São Manuel","SP",0.736,0.711,0.732,0.764,1991
"Sertão","RS",0.726,0.586,0.785,0.806,1991
"Taboão da Serra","SP",0.767,0.737,0.718,0.846,1991
"Taió","SC",0.723,0.648,0.733,0.789,1991
"Tupãssi","PR",0.699,0.606,0.706,0.786,1991
"Viçosa","MG",0.723,0.677,0.655,0.836,1991
"Xaxim","SC",0.698,0.6,0.744,0.751,1991
"Alto Feliz","RS",0.74,0.616,0.799,0.805,1991
"Arcos","MG",0.717,0.629,0.727,0.796,1991
"Cidreira","RS",0.726,0.663,0.691,0.823,1991
"Espírito Santo do Pinhal","SP",0.758,0.714,0.779,0.78,1991
"Estância Velha","RS",0.749,0.711,0.707,0.828,1991
"Jardinópolis","SP",0.747,0.712,0.748,0.782,1991
"Monte Aprazível","SP",0.745,0.684,0.759,0.792,1991
"Nova Candelária","RS",0.685,0.544,0.693,0.817,1991
"Novo Horizonte","SP",0.744,0.679,0.785,0.767,1991
"Pindorama","SP",0.745,0.683,0.796,0.755,1991
"São Gabriel do Oeste","MS",0.721,0.711,0.655,0.797,1991
"São Pedro do Butiá","RS",0.758,0.646,0.775,0.852,1991
"Severiano de Almeida","RS",0.688,0.566,0.71,0.788,1991
"Tramandaí","RS",0.719,0.657,0.678,0.822,1991
"Viamão","RS",0.732,0.659,0.72,0.818,1991
"Águas de Lindóia","SP",0.749,0.692,0.763,0.791,1991
"Balneário Barra do Sul","SC",0.711,0.624,0.725,0.785,1991
"Barão","RS",0.711,0.607,0.722,0.805,1991
"Bocaina","SP",0.749,0.717,0.762,0.768,1991
"Capivari do Sul","RS",0.743,0.686,0.792,0.752,1991
"Cerro Largo","RS",0.744,0.611,0.767,0.854,1991
"Itaju","SP",0.726,0.612,0.762,0.804,1991
"Itupeva","SP",0.734,0.7,0.762,0.741,1991
"João Monlevade","MG",0.737,0.642,0.722,0.846,1991
"Lorena","SP",0.767,0.72,0.713,0.868,1991
"Pedro Leopoldo","MG",0.748,0.655,0.767,0.821,1991
"Putinga","RS",0.712,0.586,0.776,0.773,1991
"Ribeirão Pires","SP",0.776,0.741,0.722,0.864,1991
"Rio Verde","GO",0.702,0.674,0.684,0.747,1991
"São Gotardo","MG",0.697,0.655,0.681,0.754,1991
"São Vicente do Sul","RS",0.725,0.645,0.752,0.779,1991
"Sinop","MT",0.764,0.72,0.78,0.792,1991
"Travesseiro","RS",0.733,0.601,0.8,0.799,1991
"Valparaíso","SP",0.74,0.65,0.796,0.775,1991
"Vespasiano Correa","RS",0.724,0.614,0.8,0.759,1991
"Vista Alegre do Prata","RS",0.732,0.647,0.748,0.802,1991
"Witmarsum","SC",0.71,0.581,0.78,0.77,1991
"Amparo","SP",0.749,0.726,0.7,0.822,1991
"Avaré","SP",0.765,0.712,0.764,0.82,1991
"Barra Mansa","RJ",0.739,0.659,0.721,0.837,1991
"Belém","PA",0.767,0.708,0.71,0.883,1991
"Capão da Canoa","RS",0.746,0.683,0.744,0.811,1991
"Charqueadas","RS",0.761,0.643,0.781,0.86,1991
"Ernestina","RS",0.717,0.599,0.76,0.793,1991
"Estação","RS",0.741,0.632,0.748,0.844,1991
"Ipatinga","MG",0.735,0.669,0.706,0.831,1991
"Matão","SP",0.764,0.71,0.783,0.8,1991
"Morrinhos","GO",0.717,0.639,0.729,0.784,1991
"Nhandeara","SP",0.753,0.708,0.766,0.784,1991
"Nova Aliança","SP",0.751,0.673,0.791,0.788,1991
"Nova Santa Rosa","PR",0.73,0.651,0.702,0.838,1991
